word,negative,positive
tremendously,9.0,19.0
grotesque,17.0,16.0
skyrockets,1.0,0.0
telepathically,2.0,0.0
godzilla,36.0,6.0
fathoms,1.0,1.0
apocalyptic,11.0,15.0
ambiance,12.0,13.0
donlevy,2.0,2.0
quatermass,3.0,2.0
wolfen,3.0,0.0
gammera's,1.0,0.0
personalized,1.0,1.0
boyd,3.0,4.0
pearly,2.0,1.0
toothed,4.0,2.0
trusty,3.0,5.0
steed,1.0,0.0
cowardly,10.0,13.0
yakima,1.0,2.0
canutt,1.0,1.0
lybbert,1.0,0.0
schweibert,1.0,0.0
clu,1.0,0.0
gulager,2.0,0.0
hutchins,1.0,0.0
framing,7.0,21.0
gloves,7.0,3.0
grizzled,8.0,2.0
marvin,6.0,11.0
excelled,3.0,1.0
superhero,21.0,42.0
actioneers,1.0,0.0
despise,15.0,8.0
surreality,1.0,2.0
obscenely,4.0,1.0
patchwork,2.0,3.0
raptor,10.0,0.0
bc,6.0,2.0
masked,13.0,8.0
pert,5.0,1.0
slaughters,2.0,0.0
sr,7.0,9.0
wishi,1.0,0.0
washi,1.0,0.0
depressive,5.0,3.0
supersoftie,1.0,0.0
maximal,2.0,0.0
facet,3.0,3.0
skywalker,6.0,13.0
supervillains,1.0,0.0
superaction,1.0,0.0
superfun,1.0,0.0
yentl,11.0,0.0
supersadlysoftie,1.0,0.0
kryptonite,13.0,0.0
superlame,2.0,0.0
colorful,21.0,56.0
bosworth,3.0,5.0
wroting,1.0,0.0
routh,2.0,0.0
temporary,6.0,13.0
marsden,5.0,1.0
terrain,8.0,6.0
reeve,4.0,35.0
hackman,21.0,2.0
kidder,1.0,0.0
spiderman,4.0,9.0
ironman,1.0,0.0
superheroes,4.0,6.0
announced,10.0,14.0
wb,13.0,4.0
smilla's,2.0,0.0
hallways,7.0,5.0
columbia,9.0,12.0
fledged,2.0,5.0
mgm,24.0,59.0
warners,4.0,5.0
terminally,2.0,4.0
ingrid,8.0,21.0
baxter,2.0,3.0
frenchwoman,1.0,0.0
governess,1.0,7.0
baxter's,1.0,0.0
interruption,1.0,6.0
hayward,3.0,2.0
midway,6.0,7.0
channeling,4.0,4.0
vivien,3.0,3.0
plotted,12.0,8.0
hopeful,7.0,15.0
scent,2.0,4.0
anny,1.0,0.0
duperrey,1.0,0.0
marthe,1.0,0.0
keller,2.0,9.0
motor,7.0,7.0
racing,17.0,24.0
inelegant,1.0,0.0
enid,1.0,0.0
blyton,1.0,0.0
frau,2.0,0.0
giggles,12.0,8.0
aiming,22.0,8.0
heaven's,10.0,5.0
definetely,1.0,1.0
faint,7.0,12.0
obligation,6.0,7.0
billiards,1.0,0.0
spear,7.0,6.0
motionless,4.0,1.0
thigh,2.0,3.0
instantaneous,1.0,0.0
crabs,9.0,3.0
kph,1.0,0.0
mccullum,1.0,0.0
obelisk,1.0,0.0
ekland,1.0,1.0
mccullums,1.0,0.0
stutter,3.0,1.0
virtues,5.0,14.0
quaid,8.0,20.0
policeman,19.0,25.0
smiles,15.0,20.0
grin,14.0,13.0
trademarks,3.0,5.0
viewers',3.0,4.0
jared,13.0,17.0
leto,2.0,0.0
medicine,13.0,13.0
formation,6.0,3.0
skepticism,1.0,3.0
segal,19.0,1.0
overseeing,2.0,3.0
covert,6.0,1.0
resorts,10.0,4.0
knives,14.0,6.0
afganistan,2.0,1.0
refueling,1.0,0.0
arabian,1.0,4.0
cic,1.0,0.0
pcs,1.0,0.0
gauges,1.0,0.0
maps,1.0,0.0
domesticate,1.0,0.0
foxes,2.0,12.0
kits,2.0,0.0
quirky,19.0,50.0
teasers,2.0,3.0
po,5.0,5.0
conscious,18.0,12.0
suspend,19.0,20.0
allegories,1.0,0.0
sledge,5.0,1.0
clergyman,2.0,2.0
seaside,5.0,10.0
slater's,2.0,0.0
donating,3.0,0.0
midget,14.0,0.0
midgets,6.0,2.0
disgusts,2.0,0.0
hernia,1.0,0.0
sparked,4.0,2.0
workings,6.0,5.0
annihilated,2.0,2.0
intimacy,6.0,9.0
insects,9.0,16.0
dissect,2.0,4.0
parent's,3.0,5.0
watered,11.0,4.0
'snapshot',1.0,0.0
ramming,3.0,1.0
cram,8.0,3.0
pinet,1.0,0.0
pinet's,1.0,0.0
warrant,17.0,8.0
hicks,8.0,4.0
shrine,4.0,5.0
anal,12.0,2.0
ensued,3.0,1.0
certificate,5.0,4.0
perversion,5.0,7.0
konerak,1.0,0.0
sinthasomphone's,1.0,0.0
modus,3.0,1.0
operandi,3.0,1.0
insufficiently,3.0,1.0
maria's,3.0,4.0
dumped,17.0,15.0
ioana,2.0,1.0
artificially,7.0,4.0
'be',1.0,0.0
kiki,4.0,4.0
tudor,6.0,5.0
landlady,7.0,3.0
falter,2.0,1.0
chirila,2.0,3.0
puya,1.0,0.0
romanian,14.0,4.0
interludes,3.0,4.0
comfort,13.0,35.0
swashbuckler,1.0,1.0
danish,11.0,23.0
lollobrigida,3.0,4.0
broca's,1.0,0.0
dis,7.0,4.0
figuration,1.0,0.0
fixated,3.0,1.0
grocery,2.0,11.0
multimedia,1.0,2.0
medioacre,1.0,0.0
powerless,7.0,3.0
weakness,20.0,21.0
jury,8.0,17.0
showcase,16.0,30.0
youth's,1.0,0.0
dehumanizing,1.0,4.0
threshold,5.0,2.0
arouses,4.0,1.0
challenges,12.0,23.0
declamatory,1.0,0.0
oldie,1.0,0.0
sentimentalism,1.0,1.0
zues,1.0,1.0
commands,6.0,6.0
languishes,1.0,0.0
mend,1.0,2.0
comebacks,3.0,1.0
college's,2.0,1.0
forewarned,6.0,6.0
reefer,4.0,0.0
robbie,13.0,4.0
resting,4.0,2.0
semester,3.0,4.0
acquainted,5.0,6.0
recruit,5.0,12.0
candlelight,2.0,0.0
cultish,1.0,1.0
gamers,12.0,2.0
chee,1.0,0.0
tohs,1.0,0.0
soda,4.0,3.0
wrenchingly,2.0,2.0
hanks's,1.0,1.0
buddies,24.0,24.0
dangers,4.0,15.0
vivah,10.0,9.0
sooraj,2.0,6.0
badjatya,1.0,0.0
aapke,5.0,0.0
hain,8.0,4.0
kaun,3.0,4.0
badjatyas,1.0,0.0
johars,1.0,0.0
chopras,1.0,0.0
aloknath,1.0,0.0
shahid,7.0,14.0
shahrukhed,1.0,0.0
amrita,11.0,19.0
rao,4.0,6.0
stepmother,6.0,19.0
cacophonous,1.0,0.0
soundtracks,2.0,5.0
calamitous,1.0,0.0
incidence,3.0,1.0
unkown,1.0,0.0
biker,12.0,10.0
intend,12.0,10.0
collector,5.0,16.0
gifts,5.0,9.0
harassed,3.0,2.0
tools,14.0,8.0
caucasian,11.0,4.0
maurice,9.0,16.0
bucke,3.0,0.0
hollywood's,21.0,39.0
license,7.0,10.0
hysterectomies,1.0,0.0
insanity,10.0,23.0
practiced,4.0,5.0
newspapers,10.0,8.0
whitman,3.0,3.0
suderland,1.0,0.0
'mirrors',1.0,0.0
mirrors,5.0,29.0
boring',1.0,1.0
draws,13.0,48.0
confusing',1.0,0.0
somesuch,1.0,0.0
dotted,2.0,2.0
colombo,4.0,1.0
caracter,2.0,0.0
lieutenant,11.0,7.0
morris,21.0,26.0
brass,5.0,7.0
bafta,1.0,18.0
'enshrined,1.0,0.0
mediocrity',1.0,0.0
nathan,6.0,31.0
barley,5.0,0.0
urinating,3.0,1.0
raining,9.0,0.0
lions,7.0,11.0
cock,4.0,4.0
emotive,2.0,6.0
phenomena,7.0,1.0
dolph's,1.0,0.0
enticing,6.0,7.0
nonexistent,15.0,4.0
overabundance,2.0,1.0
aimlessly,9.0,3.0
pointed,40.0,32.0
stiffly,3.0,1.0
tottered,1.0,0.0
flail,1.0,0.0
muscles,7.0,6.0
thunderchild,2.0,1.0
ironclad,1.0,0.0
destroyer,5.0,0.0
deck,7.0,14.0
torpedo,1.0,0.0
nighttime,3.0,5.0
stroll,4.0,3.0
demarcation,1.0,0.0
bathed,4.0,2.0
instances,11.0,14.0
outsides,1.0,0.0
interiors,9.0,9.0
stuttering,4.0,5.0
overhaul,1.0,1.0
wondered,30.0,35.0
peggy,8.0,16.0
doughnut,1.0,1.0
profoundly,5.0,18.0
cleared,3.0,4.0
coppola's,2.0,2.0
abrasive,4.0,3.0
karma,4.0,6.0
slips,7.0,18.0
stylings,2.0,5.0
bucket,8.0,11.0
elvis,56.0,19.0
flailing,6.0,1.0
plotwise,2.0,0.0
flak,1.0,1.0
candor,1.0,2.0
boorish,7.0,1.0
discuss,25.0,26.0
arranged,6.0,22.0
oppressed,9.0,4.0
restrictions,4.0,8.0
unwilling,7.0,13.0
pleas,1.0,7.0
requests,2.0,5.0
acknowledgment,1.0,0.0
impartiality,2.0,0.0
exploitative,13.0,12.0
representation,9.0,21.0
acknowledge,9.0,15.0
wrenching,5.0,25.0
duds,7.0,5.0
graced,2.0,6.0
deepest,4.0,20.0
hastey,1.0,0.0
bullies,6.0,10.0
reminisce,2.0,5.0
steadily,3.0,10.0
april,11.0,39.0
electrocution,5.0,3.0
chemically,5.0,0.0
discard,1.0,2.0
drum,7.0,14.0
stallone's,1.0,7.0
claremont,3.0,0.0
ont,1.0,0.0
landmarks,3.0,7.0
intersections,1.0,0.0
demolished,1.0,5.0
oshawa,1.0,0.0
ingenuity,7.0,2.0
peet,5.0,5.0
rears,1.0,3.0
fronts,8.0,2.0
starlight,5.0,0.0
laser,9.0,4.0
beams,4.0,4.0
willie's,1.0,2.0
infuses,1.0,3.0
nominate,4.0,2.0
jonathon,3.0,1.0
heir,6.0,7.0
punchlines,2.0,0.0
cancel,7.0,5.0
unkempt,2.0,3.0
ladened,2.0,0.0
roughshod,2.0,0.0
validity,2.0,6.0
bushy,4.0,0.0
housed,2.0,2.0
conditioned,6.0,3.0
bio,13.0,6.0
dome,11.0,5.0
mochcinno's,2.0,0.0
moxy,3.0,0.0
captivated,4.0,15.0
habitat,2.0,3.0
retrieve,9.0,8.0
debris,4.0,2.0
plethora,5.0,4.0
canisters,2.0,0.0
fashioning,2.0,0.0
homemade,4.0,3.0
aqua,2.0,2.0
velva,2.0,0.0
unceremoniously,4.0,2.0
unmedicated,2.0,0.0
schizophrenia,7.0,1.0
zealander's,1.0,0.0
spectacularly,7.0,7.0
astutely,2.0,4.0
ferry,6.0,6.0
decorated,3.0,7.0
zealand,10.0,11.0
shortland,2.0,0.0
dreamt,3.0,3.0
gins,1.0,0.0
salmonella,1.0,0.0
carer,2.0,0.0
renard,3.0,0.0
travis,13.0,7.0
bickle,1.0,0.0
pupkin,1.0,0.0
psychothe,1.0,0.0
arc,13.0,11.0
untouchables,2.0,0.0
stretches,15.0,3.0
rayburn,1.0,1.0
concentrated,10.0,8.0
nutters,1.0,0.0
unlawful,2.0,1.0
softly,1.0,2.0
missy's,2.0,1.0
fetch,2.0,3.0
pioneer,4.0,9.0
downer,10.0,4.0
examine,7.0,10.0
saul,3.0,1.0
tarus,1.0,0.0
hebrews,6.0,0.0
asserts,5.0,5.0
assertion,3.0,4.0
purposely,7.0,1.0
presenting,15.0,20.0
unlearned,1.0,0.0
throne,5.0,10.0
majesty,3.0,9.0
ascended,3.0,1.0
resurrection,10.0,5.0
sprang,2.0,0.0
judah,1.0,1.0
spake,1.0,0.0
priesthood,2.0,1.0
heh,8.0,6.0
engages,6.0,4.0
tactics,20.0,14.0
agrama's,1.0,0.0
pm,13.0,16.0
silvio,1.0,7.0
berlusconi,1.0,0.0
macek,4.0,0.0
macross,2.0,1.0
mospeada,1.0,0.0
firmly,8.0,18.0
virtue,8.0,12.0
silence,29.0,37.0
reba,1.0,1.0
west's,4.0,0.0
mari,1.0,0.0
iijima,1.0,0.0
mecha,6.0,2.0
remained,19.0,21.0
robotech,7.0,2.0
macek's,1.0,0.0
hg,1.0,1.0
plagiarism,5.0,0.0
originals,23.0,8.0
prompted,6.0,2.0
leiji,1.0,3.0
matsumoto,1.0,2.0
unauthorized,1.0,0.0
uncalled,4.0,1.0
reworkings,1.0,1.0
purists,3.0,7.0
choke,8.0,5.0
latt,1.0,0.0
gillies,1.0,1.0
cuthbert,2.0,7.0
celeste,1.0,21.0
characterisation,16.0,10.0
oj,5.0,3.0
'gore',1.0,0.0
imprisoned,14.0,12.0
visceral,8.0,14.0
squarely,4.0,5.0
scaring,7.0,6.0
vocal,18.0,23.0
stitches,2.0,7.0
whichever,8.0,1.0
blueprint,1.0,0.0
wannabes,4.0,7.0
minutely,1.0,1.0
omitted,3.0,4.0
heroics,2.0,5.0
charged,9.0,33.0
paradoxical,1.0,3.0
whorrible,1.0,0.0
defending,10.0,11.0
valkyrie,3.0,0.0
brunhilda,3.0,0.0
defied,3.0,2.0
odin,5.0,0.0
odin's,2.0,0.0
norse,2.0,2.0
lands,16.0,20.0
berserkers,7.0,0.0
valkyries,2.0,0.0
lusting,5.0,2.0
outcasts,3.0,3.0
boar,4.0,0.0
barek,5.0,0.0
victorious,3.0,5.0
barek's,1.0,0.0
millennia,2.0,1.0
viking,10.0,2.0
longships,1.0,0.0
armors,1.0,0.0
sceneries,3.0,3.0
aesir,2.0,0.0
corrupted,7.0,8.0
spiteful,4.0,1.0
armor,10.0,13.0
swordfights,2.0,2.0
industries,3.0,2.0
swede,3.0,1.0
plates,4.0,3.0
anya,1.0,1.0
norwegian,10.0,8.0
uniforms,14.0,10.0
theirs,10.0,8.0
religions,7.0,0.0
orientalism,1.0,0.0
westerner's,1.0,0.0
superiority,3.0,4.0
don't',2.0,0.0
nursing,4.0,3.0
biography,12.0,26.0
subtly,6.0,20.0
murderers,9.0,11.0
worship,16.0,7.0
hoods,9.0,9.0
whitepages,1.0,0.0
allusion,5.0,3.0
benchmark,3.0,7.0
unisol's,1.0,0.0
luc,15.0,8.0
devereux,1.0,0.0
refine,3.0,0.0
unisol,6.0,0.0
agile,2.0,3.0
unisols,3.0,0.0
seth,15.0,11.0
helix,1.0,0.0
scheduled,2.0,3.0
musclebound,2.0,0.0
spares,2.0,1.0
deveraux,5.0,1.0
deactivate,1.0,1.0
squid,2.0,2.0
erin,1.0,2.0
radford,2.0,0.0
measures,9.0,9.0
luc's,2.0,0.0
hillary,2.0,5.0
firsthand,1.0,4.0
flattened,3.0,0.0
vanne,3.0,0.0
damme,42.0,3.0
smashes,9.0,3.0
melt,6.0,6.0
reform,3.0,6.0
relatives,20.0,16.0
hooray,3.0,8.0
sadists,2.0,0.0
fogey,1.0,1.0
silver's,2.0,0.0
martin's,6.0,7.0
ritzig,1.0,0.0
duane,1.0,1.0
doberman,1.0,1.0
henshaw,1.0,0.0
dino,10.0,2.0
flashman,5.0,0.0
zimmerman,1.0,0.0
mullin,1.0,0.0
woth,1.0,0.0
soldier's,7.0,2.0
rotation,2.0,1.0
adrenaline,8.0,7.0
sniping,1.0,0.0
packed,25.0,63.0
ascension,4.0,2.0
harvest,6.0,9.0
auction,4.0,3.0
vatican,3.0,1.0
chillers,2.0,2.0
brides,23.0,4.0
lemora,1.0,1.0
sale,22.0,13.0
poppa,1.0,2.0
favorably,2.0,1.0
satires,4.0,7.0
schlocky,8.0,2.0
arkin's,1.0,4.0
laurence,8.0,32.0
frightened,15.0,21.0
exam,2.0,0.0
strict,7.0,14.0
'f',1.0,2.0
respectability,2.0,5.0
involuntarily,1.0,0.0
barnaby,4.0,1.0
iv,8.0,14.0
epilogue,11.0,2.0
betty,13.0,24.0
meriwether,1.0,0.0
ebsen,3.0,2.0
goldsmith's,2.0,1.0
jed,5.0,17.0
clampett,1.0,0.0
wished,21.0,28.0
swearing,20.0,10.0
bitterness,4.0,8.0
applied,10.0,16.0
ancestry,3.0,6.0
skinheads,2.0,2.0
'doubt',1.0,0.0
faltered,1.0,0.0
promotion,10.0,7.0
seymour,9.0,24.0
hoffman,24.0,81.0
pounds,17.0,10.0
viola,2.0,2.0
defender,1.0,1.0
hollywoodized,4.0,0.0
colossal,2.0,2.0
afghan,2.0,2.0
arrest,14.0,15.0
larson,4.0,0.0
plush,6.0,1.0
parked,10.0,2.0
sorriest,2.0,0.0
canibalising,1.0,0.0
potter,4.0,18.0
gandalf,4.0,12.0
sauron,1.0,4.0
jaja,1.0,0.0
derived,8.0,11.0
dependent,5.0,8.0
intoxication,2.0,1.0
shim,2.0,0.0
linearly,2.0,0.0
impacted,2.0,4.0
orbits,2.0,0.0
asynchronous,1.0,0.0
fragments,4.0,8.0
sequential,3.0,1.0
lyrical,3.0,8.0
compels,2.0,3.0
startlingly,2.0,4.0
smitten,9.0,11.0
phillip,11.0,26.0
encourages,5.0,15.0
blurts,1.0,1.0
lover's,4.0,3.0
chiseled,3.0,0.0
hospice,1.0,0.0
bejeweled,1.0,0.0
ribbons,3.0,1.0
nightingale,2.0,2.0
ratchet,3.0,0.0
bruising,1.0,0.0
steamroller,1.0,0.0
phillip's,1.0,6.0
needy,3.0,8.0
dweeb,2.0,2.0
caustic,1.0,2.0
diatribe,2.0,2.0
patter,4.0,1.0
ungraced,1.0,0.0
tether's,1.0,0.0
perimeter,1.0,0.0
resonates,2.0,8.0
courting,2.0,5.0
coupling,2.0,5.0
nesting,1.0,0.0
friction,2.0,1.0
fracturing,1.0,0.0
dissolution,2.0,5.0
rapprochement,1.0,0.0
forgiveness,13.0,15.0
phelan,1.0,0.0
spirtas,1.0,0.0
insensitivity,1.0,1.0
selfishness,5.0,2.0
sticklers,1.0,0.0
catharsis,3.0,4.0
tearjerker,6.0,5.0
alternatives,2.0,2.0
longtime,3.0,11.0
frost,5.0,17.0
parting,3.0,6.0
valour,1.0,0.0
lea,3.0,4.0
thompson,14.0,21.0
o'quinn,1.0,0.0
appropriately,13.0,24.0
jinx,4.0,1.0
cheesed,2.0,1.0
budding,8.0,13.0
shuttle,10.0,2.0
mikey,2.0,1.0
cereal,4.0,1.0
consenting,1.0,2.0
capability,3.0,3.0
certificated,1.0,0.0
dumbing,7.0,4.0
cigarettes,7.0,10.0
twelve's,1.0,0.0
supervision,5.0,2.0
obediently,1.0,0.0
movies',6.0,3.0
bewilderment,2.0,2.0
tedium,21.0,3.0
archetypal,5.0,6.0
fassbinder,6.0,18.0
schaffner,3.0,0.0
reeling,5.0,5.0
exuberance,1.0,9.0
recognition,10.0,33.0
crews,2.0,4.0
pastiche,5.0,8.0
blaxploitation,7.0,7.0
git,1.0,0.0
sucka,2.0,0.0
weights,2.0,0.0
ja'net,1.0,0.0
bois,1.0,1.0
dives,8.0,8.0
cogs,1.0,2.0
commercialism,4.0,1.0
pondering,4.0,4.0
moguls',1.0,0.0
bludgeoned,3.0,0.0
avenue,5.0,6.0
bursts,6.0,9.0
glean,5.0,0.0
imaginations,2.0,8.0
newsflash,2.0,0.0
hefty,3.0,1.0
latino,17.0,6.0
endear,1.0,3.0
antagonist,15.0,9.0
maya,3.0,9.0
upn,1.0,0.0
syndicated,2.0,0.0
gnome,3.0,0.0
correctness,14.0,10.0
detected,3.0,0.0
rounds,8.0,18.0
gregg,3.0,1.0
alphabet,3.0,0.0
shaun,7.0,11.0
homages,5.0,4.0
mutated,13.0,2.0
jabba,1.0,7.0
mutation,1.0,0.0
chet,1.0,0.0
explorers,4.0,3.0
popped,13.0,5.0
balloon,11.0,13.0
patent,2.0,3.0
wright,7.0,12.0
pegg,1.0,35.0
boyle,5.0,22.0
ingenious,9.0,30.0
groan,10.0,4.0
shamble,2.0,0.0
synovial,1.0,0.0
fluid,9.0,17.0
rigor,3.0,0.0
mortis,3.0,0.0
wheelsy,2.0,0.0
slither,4.0,0.0
republican,5.0,6.0
letterman,4.0,3.0
smartest,4.0,5.0
cc,2.0,0.0
rummage,2.0,0.0
succumbed,3.0,4.0
mmm,1.0,4.0
strengths,5.0,21.0
'while,1.0,0.0
out',1.0,5.0
negatives,5.0,7.0
causally,1.0,0.0
lukewarm,6.0,2.0
compact,2.0,2.0
fable,5.0,12.0
misguidedly,1.0,0.0
foreseeable,3.0,1.0
variable,5.0,4.0
slight,24.0,41.0
inclusions,2.0,0.0
hass,2.0,1.0
canon,4.0,12.0
scrounging,1.0,3.0
knocking,8.0,14.0
elicit,6.0,2.0
jolts,4.0,3.0
absurdly,6.0,8.0
daft,13.0,6.0
stout,3.0,0.0
sheffer,3.0,6.0
thug,10.0,11.0
montford's,2.0,1.0
soberly,1.0,2.0
chugs,1.0,1.0
hauntingly,2.0,7.0
sullen,7.0,5.0
division,6.0,15.0
albums,4.0,11.0
rainer,2.0,19.0
wang,4.0,38.0
lung,3.0,17.0
beds,8.0,3.0
esquire,13.0,15.0
it'd,9.0,5.0
quiroz,3.0,4.0
improvisational,1.0,1.0
uped,1.0,0.0
grill,2.0,0.0
conjunction,1.0,3.0
staggering,5.0,8.0
accusations,4.0,5.0
opportunistically,1.0,0.0
affirmative,3.0,0.0
misusing,2.0,0.0
climate,3.0,15.0
detractors,2.0,7.0
gotb,1.0,0.0
falsehood,1.0,0.0
disseminated,1.0,0.0
peaceful,9.0,20.0
rivaled,1.0,0.0
incessant,8.0,2.0
antonyms,1.0,0.0
segregation,2.0,4.0
kkk,4.0,1.0
lunatics,5.0,1.0
democratic,6.0,7.0
party's,1.0,1.0
freeing,3.0,4.0
farrakhan,1.0,0.0
puerto,15.0,12.0
rico,8.0,9.0
widest,1.0,1.0
circulation,4.0,2.0
continuously,6.0,6.0
marvels,2.0,1.0
silencing,1.0,1.0
largest,5.0,12.0
claridad,1.0,0.0
analyzed,1.0,6.0
rows,3.0,1.0
devastating,5.0,28.0
industrialization,3.0,2.0
droning,10.0,0.0
industrial,14.0,16.0
karl,7.0,40.0
starvation,3.0,4.0
burtynsky's,1.0,6.0
exhibitions,2.0,2.0
industrialize,1.0,0.0
hopelessness,2.0,8.0
noam,5.0,12.0
chomsky,14.0,0.0
demonstration,4.0,8.0
gilligan's,11.0,3.0
auschwitz,5.0,4.0
oven,3.0,1.0
adolf,5.0,4.0
lucy,34.0,66.0
lucille,17.0,22.0
huntress,2.0,0.0
rko,7.0,12.0
xico,2.0,1.0
gabriel,19.0,10.0
figueroa,2.0,0.0
dimitri,1.0,5.0
tiomkin,1.0,0.0
abroad,8.0,9.0
acapulco,1.0,0.0
beaches,5.0,7.0
pyramids,2.0,0.0
aquatania,1.0,0.0
cors,1.0,0.0
balu,1.0,0.0
steep,8.0,2.0
neumann,2.0,0.0
florey,3.0,0.0
amazons,2.0,0.0
leopard,2.0,5.0
cheeta,3.0,0.0
benji,3.0,0.0
mailman,3.0,0.0
caribbean,6.0,4.0
weissmuller's,1.0,0.0
locate,7.0,6.0
l'engle's,3.0,0.0
departures,1.0,1.0
l'engle,5.0,0.0
chewbacca,5.0,4.0
calvin's,4.0,0.0
cardella,1.0,0.0
glen,2.0,4.0
hyman,1.0,2.0
garrison,2.0,4.0
kacey,2.0,0.0
cobb,12.0,3.0
gcse,2.0,1.0
o'brien,6.0,9.0
swung,4.0,1.0
eurythmics,1.0,0.0
mechanically,3.0,0.0
ministry,3.0,4.0
ingsoc,1.0,0.0
shatter,2.0,1.0
winstons,1.0,0.0
goldstien's,1.0,0.0
brotherhood,4.0,4.0
article,6.0,13.0
unpersons,1.0,0.0
electronica,2.0,0.0
assignment,20.0,9.0
boringness,1.0,2.0
discount,15.0,4.0
untidy,1.0,1.0
forceful,3.0,3.0
rajpal,7.0,3.0
yadav,5.0,4.0
whoopi,10.0,31.0
definently,1.0,0.0
uprosing,1.0,0.0
conventional,22.0,37.0
gunned,9.0,1.0
goal,34.0,36.0
mayor,14.0,21.0
uncommon,2.0,6.0
lm,1.0,0.0
auteur,14.0,6.0
amelia,1.0,0.0
nair,1.0,3.0
descended,5.0,3.0
masse,1.0,0.0
cesspool,3.0,2.0
thatched,1.0,1.0
roof,12.0,30.0
caption,3.0,2.0
'kushiata,1.0,0.0
kyoto,3.0,0.0
trainee,1.0,2.0
masanori,3.0,0.0
toshiya,1.0,0.0
maruyama,1.0,0.0
winding,1.0,3.0
waits,6.0,13.0
otami,3.0,0.0
mako,2.0,0.0
hattori,2.0,0.0
shugoro's,1.0,0.0
tsuiyuki,1.0,0.0
sasaki,3.0,0.0
toshiyuki,1.0,0.0
masanori's,1.0,0.0
shugoro,2.0,1.0
relations,12.0,30.0
honour,3.0,12.0
enraged,8.0,2.0
committing,16.0,14.0
mcclure,12.0,1.0
consulate,3.0,0.0
jokingly,1.0,1.0
zen,5.0,6.0
monk,24.0,31.0
mitowa,1.0,0.0
majyo,1.0,0.0
witches,18.0,17.0
tsuyako,1.0,0.0
olajima,1.0,0.0
connor,11.0,7.0
suhosky,1.0,0.0
hardiman,1.0,0.0
noriko,1.0,8.0
mayumi,1.0,0.0
umeda,1.0,0.0
exorcises,1.0,0.0
banished,5.0,3.0
oriental,8.0,10.0
waist,9.0,7.0
decapitations,3.0,2.0
'transparent',1.0,0.0
professionally,8.0,7.0
waster,4.0,0.0
props,36.0,19.0
mercedes,3.0,3.0
mcnab,1.0,0.0
'watch,1.0,1.0
stanton,5.0,4.0
hitchcock's,9.0,17.0
injected,6.0,1.0
enigmatic,5.0,14.0
mural,4.0,0.0
unused,2.0,0.0
ballroom,7.0,12.0
gathering,10.0,12.0
ellen's,3.0,1.0
lend,15.0,17.0
scrutiny,4.0,2.0
burstyn's,2.0,2.0
teeters,3.0,2.0
dreamy,14.0,13.0
waif,2.0,4.0
facials,1.0,0.0
tryings,1.0,0.0
collen,1.0,0.0
haskell,3.0,0.0
stallone,14.0,19.0
muppet,18.0,24.0
'godfather,1.0,0.0
dishonours,1.0,0.0
compensate,16.0,7.0
gesticulating,1.0,0.0
meteor,10.0,20.0
nymphets,1.0,0.0
moaning,6.0,3.0
'deep,1.0,1.0
impact',1.0,3.0
knickers,7.0,0.0
suspenders,2.0,0.0
garter,1.0,0.0
trivial,11.0,5.0
lopez,7.0,18.0
vindictive,1.0,3.0
animosity,1.0,6.0
pore,1.0,1.0
caterer,2.0,0.0
herein,10.0,6.0
sow's,4.0,0.0
silk,13.0,7.0
purse,6.0,15.0
galaxina,1.0,0.0
unicorn,3.0,1.0
knightley,7.0,23.0
rourke,15.0,8.0
ramirez,1.0,4.0
walken,22.0,26.0
echoing,5.0,3.0
keira's,1.0,0.0
keira,3.0,10.0
'carrie',1.0,0.0
'heathers',1.0,0.0
shining',1.0,0.0
winona,6.0,2.0
goth,6.0,5.0
fashionable,5.0,6.0
accessorizing,1.0,0.0
scarves,1.0,3.0
spray,4.0,10.0
cher,5.0,13.0
overacts,15.0,5.0
'm,3.0,0.0
h',2.0,0.0
onscreen,4.0,3.0
kristin,8.0,2.0
dattilo,1.0,0.0
paull,1.0,0.0
goldin,1.0,0.0
trademarked,2.0,1.0
darryl',1.0,0.0
sanderson,6.0,0.0
undertaker,4.0,10.0
smokin',2.0,0.0
yvonne,4.0,8.0
decarlo,2.0,1.0
charlotte,11.0,31.0
heyday,4.0,8.0
mindbogglingly,1.0,0.0
mirror',1.0,1.0
entrusted,2.0,1.0
stash,5.0,2.0
independence,15.0,22.0
cages,5.0,0.0
'charlotte',1.0,0.0
riddles,4.0,1.0
'face,1.0,1.0
off',1.0,2.0
rock',2.0,2.0
'ordinary',1.0,1.0
declaration,8.0,5.0
independancd,1.0,0.0
outruns,1.0,0.0
invincible,10.0,1.0
manual,3.0,3.0
abyssmal,2.0,0.0
spiraling,2.0,4.0
describes,15.0,37.0
distasteful,12.0,0.0
buscemi's,1.0,0.0
tromeo,1.0,0.0
infomercials,6.0,0.0
nukem,1.0,1.0
marquis,2.0,3.0
sade,5.0,0.0
dual,6.0,7.0
tobe,15.0,3.0
hopper's,1.0,1.0
terrors,4.0,4.0
gnostics,1.0,0.0
zoe,3.0,8.0
trilling,2.0,0.0
certification,3.0,1.0
'haunted',1.0,0.0
suggestible,1.0,0.0
justification,14.0,9.0
me'style,1.0,0.0
educate,6.0,5.0
slice,15.0,23.0
surefire,3.0,3.0
disability,5.0,9.0
incorporate,7.0,8.0
disabilities,3.0,3.0
